"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","MUNICIPIO",3507209,"0,746",NA,NA,NA
"2015","MUNICIPIO",3507308,"0,754",NA,NA,NA
"2015","MUNICIPIO",3507407,"0,558",NA,NA,NA
"2015","MUNICIPIO",3507407,"0,73",NA,NA,NA
"2015","MUNICIPIO",3507456,"0,705",NA,NA,NA
"2015","MUNICIPIO",3507506,"0,8",NA,NA,NA
"2015","MUNICIPIO",3507605,"0,776",NA,NA,NA
"2015","MUNICIPIO",3507704,"0,737",NA,NA,NA
"2015","MUNICIPIO",3507753,"0,71",NA,NA,NA
"2015","MUNICIPIO",3507803,"0,755",NA,NA,NA
"2015","MUNICIPIO",3507902,"0,74",NA,NA,NA
"2015","MUNICIPIO",3508009,"0,667",NA,NA,NA
"2015","MUNICIPIO",3508108,"0,763",NA,NA,NA
"2015","MUNICIPIO",3508207,"0,735",NA,NA,NA
"2015","MUNICIPIO",3508306,"0,694",NA,NA,NA
"2015","MUNICIPIO",3508405,"0,738",NA,NA,NA
"2015","MUNICIPIO",3508504,"0,788",NA,NA,NA
"2015","MUNICIPIO",3508603,"0,764",NA,NA,NA
"2015","MUNICIPIO",3508702,"0,72",NA,NA,NA
"2015","MUNICIPIO",3508801,"0,748",NA,NA,NA
"2015","MUNICIPIO",3508801,"0,742",NA,NA,NA
"2015","MUNICIPIO",3508900,"0,729",NA,NA,NA
"2015","MUNICIPIO",3509007,"0,781",NA,NA,NA
"2015","MUNICIPIO",3509106,"0,697",NA,NA,NA
"2015","MUNICIPIO",3509205,"0,728",NA,NA,NA
"2015","MUNICIPIO",3509254,"0,694",NA,NA,NA
"2015","MUNICIPIO",3509304,"0,734",NA,NA,NA
"2015","MUNICIPIO",3509403,"0,713",NA,NA,NA
"2015","MUNICIPIO",3509452,"0,717",NA,NA,NA
"2015","MUNICIPIO",3509502,"0,805",NA,NA,NA
"2015","MUNICIPIO",3509601,"0,769",NA,NA,NA
"2015","MUNICIPIO",3509700,"0,749",NA,NA,NA
"2015","MUNICIPIO",3509809,"0,706",NA,NA,NA
"2015","MUNICIPIO",3509908,"0,72",NA,NA,NA
"2015","MUNICIPIO",3509957,"0,704",NA,NA,NA
"2015","MUNICIPIO",3510005,"0,747",NA,NA,NA
"2015","MUNICIPIO",3510104,"0,789",NA,NA,NA
"2015","MUNICIPIO",3510153,"0,68",NA,NA,NA
"2015","MUNICIPIO",3510203,"0,721",NA,NA,NA
"2015","MUNICIPIO",3510302,"0,699",NA,NA,NA
"2015","MUNICIPIO",3510401,"0,75",NA,NA,NA
"2015","MUNICIPIO",3510500,"0,759",NA,NA,NA
"2015","MUNICIPIO",3510609,"0,749",NA,NA,NA
"2015","MUNICIPIO",3510708,"0,722",NA,NA,NA
"2015","MUNICIPIO",3510807,"0,73",NA,NA,NA
"2015","MUNICIPIO",3510906,"0,734",NA,NA,NA
