"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",350480,8773,8773
"2015","MUNICIPIO",350490,8131,7498
"2015","MUNICIPIO",350500,2471,1875
"2015","MUNICIPIO",350510,7080,7080
"2015","MUNICIPIO",350520,34048,34048
"2015","MUNICIPIO",350530,36321,36321
"2015","MUNICIPIO",350535,2129,973
"2015","MUNICIPIO",350540,3220,2393
"2015","MUNICIPIO",350550,112927,112345
"2015","MUNICIPIO",350560,30112,30112
"2015","MUNICIPIO",350570,262275,230545
"2015","MUNICIPIO",350580,18375,18329
"2015","MUNICIPIO",350590,52755,52755
"2015","MUNICIPIO",350600,360492,356523
"2015","MUNICIPIO",350610,77545,77545
"2015","MUNICIPIO",350620,2711,2697
"2015","MUNICIPIO",350630,9988,9770
"2015","MUNICIPIO",350635,32512,28383
"2015","MUNICIPIO",350640,7500,7650
"2015","MUNICIPIO",350650,118352,118352
"2015","MUNICIPIO",350660,17263,14791
"2015","MUNICIPIO",350670,NA,NA
"2015","MUNICIPIO",350680,11810,11656
"2015","MUNICIPIO",350690,6800,6125
"2015","MUNICIPIO",350700,43443,37289
"2015","MUNICIPIO",350710,20722,20025
"2015","MUNICIPIO",350715,2232,2132
"2015","MUNICIPIO",350720,836,836
"2015","MUNICIPIO",350730,4101,4085
"2015","MUNICIPIO",350740,14030,14030
"2015","MUNICIPIO",350745,2171,2171
"2015","MUNICIPIO",350750,137479,128433
"2015","MUNICIPIO",350760,147183,129027
"2015","MUNICIPIO",350770,4869,4769
"2015","MUNICIPIO",350775,2357,1969
"2015","MUNICIPIO",350780,22800,22777
"2015","MUNICIPIO",350790,23419,22419
"2015","MUNICIPIO",350800,15676,14459
"2015","MUNICIPIO",350810,16583,16583
"2015","MUNICIPIO",350820,3506,3469
"2015","MUNICIPIO",350830,4390,4385
"2015","MUNICIPIO",350840,34673,29259
"2015","MUNICIPIO",350850,91162,81138
"2015","MUNICIPIO",350860,30408,27557
"2015","MUNICIPIO",350870,13207,11526
"2015","MUNICIPIO",350880,15201,15201
"2015","MUNICIPIO",350890,3441,3013
"2015","MUNICIPIO",350900,92943,71546
"2015","MUNICIPIO",350910,5500,2379
"2015","MUNICIPIO",350920,71805,61142
"2015","MUNICIPIO",350925,21878,16462
"2015","MUNICIPIO",350930,9597,9597
"2015","MUNICIPIO",350940,22420,22051
"2015","MUNICIPIO",350945,4960,3893
"2015","MUNICIPIO",350950,1138654,1057763
"2015","MUNICIPIO",350960,64930,48178
"2015","MUNICIPIO",350970,32218,24654
"2015","MUNICIPIO",350980,4808,4808
"2015","MUNICIPIO",350990,10125,7434
